turbine_id,source,feature,grid_id,distance_km,distance_rank,is_nearest_grid,n_overlap_speed,l3_root_ms,mae_ms,rmse_ms,bias_nwp_minus_scada_ms,correlation,scada_mean_ms,nwp_mean_ms,scada_p90_ms,nwp_p90_ms,strong_wind_count,strong_wind_l3_root_ms,overall_rank,source_rank,n_overlap_direction,circular_mae_deg,circular_p90_abs_error_deg,mean_cosine_agreement,estimated_scada_offset_deg,offset_corrected_circular_mae_deg,offset_corrected_mean_cosine_agreement,raw_direction_rank,offset_corrected_direction_rank
vestas_wtg09,gfs,10m,6,25.41178364353949,4,False,26303,6.3539861458469105,4.438359510521063,5.49116896114607,-4.296563171857495,0.45508655173748347,7.15159202372353,2.855028851866034,12.816666666666668,4.6071568303567245,5820,9.664906404097271,89.0,41.0,26303,51.679172232206,129.13633286316679,0.5079185776570984,23.821917857578587,47.5451711027081,0.5552204572670848,102.0,102.0
vestas_wtg09,gfs,80m,6,25.41178364353949,4,False,26303,5.618773035707454,3.8165491383044547,4.798609722246095,-3.4536602630985085,0.5138973927953248,7.15159202372353,3.6979317606250213,12.816666666666668,6.664133419471449,5820,8.448881336806929,76.0,28.0,26303,47.730609798899195,120.86250791533199,0.5534175007596184,21.201925433460953,44.731176930856314,0.5935971107991614,96.0,90.0
vestas_wtg09,gfs,100m,6,25.41178364353949,4,False,26303,5.565063420494122,3.777534845930368,4.7503008707967185,-3.3680837179643164,0.5169278387505676,7.15159202372353,3.7835083057592134,12.816666666666668,6.960153389418742,5820,8.340474276316494,72.0,24.0,26303,47.10893247488729,119.26549137965786,0.5608640021501264,20.831878002526846,44.28586846278423,0.6000933279773486,93.0,89.0
vestas_wtg09,gfs,pbl,6,25.41178364353949,4,False,26303,5.585007767465833,3.764341342631129,4.739256648767101,-2.896107988499283,0.5409577598631946,7.15159202372353,4.255484035224246,12.816666666666668,9.069393241653744,5820,8.239626550572199,75.0,27.0,26303,44.56546069915631,113.54443075973279,0.5940511427713837,19.753510459531324,41.83953850634779,0.6311935306361233,83.0,85.0
vestas_wtg09,gfs,850hpa,6,25.41178364353949,4,False,26303,5.258832639271235,2.9292296819226338,4.0960009928853465,0.710444750583355,0.7430274806805458,7.15159202372353,7.862036774306885,12.816666666666668,16.79341181623728,5820,7.132941940013881,62.0,15.0,26303,31.05313242184426,74.17968222757047,0.7642809020839264,-3.505428920934061,30.773483320388166,0.7657135449006044,57.0,67.0
vestas_wtg09,gfs,700hpa,6,25.41178364353949,4,False,26303,8.609094588201128,5.47988566212851,7.177698051416025,4.251545119916156,0.5205474742238717,7.15159202372353,11.403137143639686,12.816666666666668,21.24923542446873,5820,9.511088561354258,95.0,47.0,26303,47.083602150138574,129.73976735254894,0.5619823526003137,-7.297264818064482,46.365711576144065,0.5665712926712878,91.0,100.0
vestas_wtg09,gfs,500hpa,6,25.41178364353949,4,False,26303,18.313364330774213,12.865690709838692,15.905354026149016,12.433157140120077,0.3399090564214334,7.15159202372353,19.584749163843604,12.816666666666668,34.12786249361608,5820,18.561226184139336,121.0,57.0,26303,51.83501605608699,147.80748016968582,0.48743925735855786,-2.7318250285432573,51.773691988733965,0.4879938352583621,105.0,116.0
vestas_wtg09,gfs,10m,7,36.89015613235062,8,False,26303,7.111864301812043,5.225019494394833,6.255600714714991,-5.1928335373282986,0.42869411873457774,7.15159202372353,1.9587584863952308,12.816666666666668,3.4962866548522245,5820,10.725001941275167,93.0,45.0,26303,51.33179539413111,117.49776961248156,0.5286624112918984,-14.4491276530882,49.53066045572029,0.5459304261754256,97.0,106.0
vestas_wtg09,gfs,80m,7,36.89015613235062,8,False,26303,6.161667211242824,4.364216464613071,5.34657391861984,-4.219335970426642,0.5173653268446706,7.15159202372353,2.9322560532968867,12.816666666666668,5.568147714927852,5820,9.228207903206341,85.0,37.0,26303,43.27497981220795,97.27103931677779,0.6373390899912091,-8.100872696909757,42.086844969509535,0.6437628704071352,82.0,86.0
vestas_wtg09,gfs,100m,7,36.89015613235062,8,False,26303,6.023051432956398,4.252417611023886,5.219425836609104,-4.080104247195443,0.5312664163512861,7.15159202372353,3.0714877765280875,12.816666666666668,5.863861115781794,5820,9.00257335600656,83.0,35.0,26303,41.64866828463592,92.65711627223372,0.6577566319458585,-6.868345738657426,40.65551609223315,0.6625111014260565,78.0,82.0
