group,trial,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
kpx_group_1,12,0.6167724710656733,0.12903742019927167,0.36258236233061836,0.5984563186421037,0.013010652833345132,0.15,actual_sqrt,20260709012,-1,-1,regression_l1,773,0.01779031539008467,48,6,80,0.7080343809296805,0.6457591879076344,0.06780190941043089,0.014278159010752743,0.00191584253365556
kpx_group_1,5,0.6162610100520319,0.12839027202275757,0.36091229212682147,0.5957264584782849,0.014619563418814475,0.15,actual_sqrt,20260709005,-1,-1,regression_l1,1959,0.041622542243086966,96,8,60,0.8461221897055181,0.6261273807423365,0.1474083092424525,0.017385017619491534,1.4785778941705306e-05
kpx_group_1,17,0.6160081599355636,0.12444593485750488,0.356462254728632,0.5956461869580243,0.015804274457038876,0.05,metric_x2,20260709017,-1,-1,regression_l1,1900,0.03399138167337949,24,8,40,0.9466066458766524,0.7610796978945809,0.0001648547007141526,0.0015082935531552752,4.0656196305864235e-05
kpx_group_1,15,0.615913535407302,0.12579685563182522,0.3576239264464294,0.5947930927370113,0.015798295633796495,0.03,actual_sqrt,20260709015,-1,-1,regression_l1,1440,0.019659657934579553,128,7,60,0.7944781315558007,0.630818156336988,1.9833116890713158,0.001777467780513911,0.00020095387062373738
kpx_group_1,18,0.6157005177937438,0.12732512331583823,0.358726158903326,0.5931535360535467,0.016438402784354173,0.15,none,20260709018,-1,-1,regression_l1,755,0.03157243339894951,96,5,40,0.6674693351999169,0.7500760476136177,0.00010163273904310871,0.0040404179806349865,0.0017823397947579777
kpx_group_1,14,0.6151923533647158,0.12531044377392928,0.35569515050336115,0.59382643045087,0.015466666507714178,0.05,none,20260709014,-1,-1,regression_l1,1143,0.04453835028851658,64,7,300,0.8795256225882909,0.9493329353885145,0.049483461201084177,0.014192366443974832,0.0009976167541500141
kpx_group_1,10,0.6148571564717872,0.1261459128951385,0.35586022583871274,0.5932651146131178,0.015485062319129928,0.05,none,20260709010,-1,-1,regression_l1,1332,0.020986157222670006,16,6,60,0.8203243664599442,0.966567275750568,0.00041829233208694395,0.004301594923922057,0.001224720576346308
kpx_group_1,6,0.613660795680956,0.12687336954945042,0.35419496091136254,0.5930800531827387,0.015266202971854336,0.15,metric_x2,20260709006,-1,-1,regression_l1,1955,0.021019732608518298,128,7,80,0.7086659588651829,0.6982455995061411,0.10660058719814905,7.974052522158808,1.0692625012681247e-05
kpx_group_1,4,0.6131441010725195,0.1255540463295143,0.35184224847455337,0.5917321568933416,0.01539154943937488,0.03,metric_x2,20260709004,-1,-1,regression_l1,1512,0.04440218963927715,24,6,60,0.8803670728835343,0.7666257960416873,0.00014812918358505893,0.021760406266618217,0.011626401181452885
kpx_group_1,19,0.6089006603796338,0.12754118430666428,0.3453425050659316,0.5865116026617585,0.01718317280354664,0.03,none,20260709019,-1,-1,regression_l1,751,0.012135059217105263,32,5,220,0.9779035026849627,0.8620088534041823,0.06783729294794102,0.20481644597329665,6.621697451528556e-05
kpx_group_2,12,0.6477819197388658,0.12364831846193171,0.4192121579396632,0.6375228693236688,0.01409041067551936,0.1,actual_sqrt,20260709012,-1,-1,regression_l1,1147,0.014499159124515484,48,6,160,0.943821936628322,0.7670068381899596,0.03338729706910501,3.1545764871314517,0.05273144581319895
