variant,group,pred_year,mse,rmse,mae,bias,metric_mse,metric_rmse,metric_mae,metric_bias,score,nmae,ficr,pred_min_ratio,pred_max_ratio,n
share_a075_pinn_raw,kpx_group_1,2022,0.02700349808142144,0.1643274112295981,0.1240620176359359,0.07814912123440423,0.03398377790219387,0.18434689555887257,0.14245662263546965,0.06946217478910224,0.6088441612578273,0.14245662263546965,0.3601449451511243,0.019095329537037038,0.9866102685185185,8664
share_a075_pinn_floor20,kpx_group_1,2022,0.035257333148505286,0.18776936158091737,0.1594506136373692,0.12037527123329615,0.03342018752677346,0.18281189109785353,0.14199653936552875,0.07948753519475901,0.610109275959797,0.14199653936552875,0.36221509128512275,0.2,0.9866102685185185,8664
share_a075_fixed_50_15_35,kpx_group_1,2022,0.029892687177405956,0.172895017792318,0.1451028490781011,0.10398180727924389,0.02963688363624366,0.172153662860375,0.13312934817961486,0.06734782931969996,0.6237927296733188,0.13312934817961486,0.38071480752625253,0.1422236680719216,0.9943895546363156,8664
share_a075_pinn_raw,kpx_group_1,2023,0.02418288344711344,0.1555084674450669,0.11392676583700785,0.03668848784217409,0.030770866356765764,0.17541626594123408,0.13035242534277497,0.008117634923977093,0.6357562795973375,0.13035242534277497,0.4018649845374499,0.029992280324074073,0.9759511759259258,8757
share_a075_pinn_floor20,kpx_group_1,2023,0.03257321040678968,0.18048049868833385,0.14984752139145827,0.08146499190065937,0.029944278045834053,0.1730441505680965,0.12924227681832087,0.020542728669668487,0.6385678592101691,0.12924227681832087,0.40637799523865914,0.2,0.9759511759259258,8757
share_a075_fixed_50_15_35,kpx_group_1,2023,0.02882185663126289,0.16977001098916997,0.13968741947010038,0.06985361750885907,0.028363878457409487,0.1684157904040161,0.12611806524536673,0.01511160240735796,0.641268569226942,0.12611806524536673,0.40865520369925074,0.14657326997470632,0.978931844401439,8757
share_a075_pinn_raw,kpx_group_1,2024,0.024793708978640618,0.15746018220058244,0.11212596470904748,0.052644799538005396,0.024379652252161862,0.156139848380104,0.1177172177645366,0.013534532803063963,0.6550894902776168,0.1177172177645366,0.4278961983197702,0.01857444787037037,0.9696793888888889,8778
share_a075_pinn_floor20,kpx_group_1,2024,0.034723560015764224,0.1863425877671667,0.15363822472105135,0.1011592122154608,0.02373605449122075,0.15406509822546036,0.1173490666065344,0.0250137746093257,0.6568898330251914,0.1173490666065344,0.43112873265691726,0.2,0.9696793888888889,8778
share_a075_fixed_50_15_35,kpx_group_1,2024,0.03006440583644816,0.17339090471085317,0.1408584366008765,0.08669815528156286,0.02163213040271851,0.1470786537969345,0.11174777373739245,0.016454338295232674,0.6638848125675072,0.11174777373739245,0.4395173988724068,0.1452333078234628,0.9697366856746991,8778
share_a075_pinn_raw,kpx_group_2,2022,0.024225815026226966,0.15564644238217257,0.11387595438965445,0.04928083084220823,0.028686522029820256,0.16937095981844189,0.12537455605025957,0.023087417650402536,0.6645132871441124,0.12537455605025957,0.4544011303384844,0.016657881805555556,0.9661888148148149,8664
share_a075_pinn_floor20,kpx_group_2,2022,0.03246192694882118,0.18017193718451602,0.14951508363732643,0.09342151391811797,0.027664475110238465,0.16632641134299286,0.1241971148977056,0.03485985606549564,0.6673279766422195,0.1241971148977056,0.4588530681821447,0.2,0.9661888148148149,8664
share_a075_fixed_50_15_35,kpx_group_2,2022,0.02796121976589294,0.16721608704276314,0.13720994412386964,0.07721476646430471,0.02580265590845179,0.1606320513112243,0.12018115744434477,0.024630014201243534,0.6708925088942268,0.12018115744434477,0.46196617523279837,0.14232625902617002,0.9589654055664124,8664
share_a075_pinn_raw,kpx_group_2,2023,0.025693232826696534,0.16029108779559934,0.11745886483450067,0.060357414189158964,0.031187111257500236,0.17659872949005107,0.1292362436678524,0.038255384220870714,0.6576772401197261,0.1292362436678524,0.4445907239073046,0.035748671018518516,0.9650261435185185,8758
share_a075_pinn_floor20,kpx_group_2,2023,0.034062122992401044,0.1845592668830288,0.15200524289781617,0.1017234407247765,0.030722538986424266,0.17527846127355257,0.12942867524078472,0.048981465991336154,0.6576123684566549,0.12942867524078472,0.44465341215409454,0.2,0.9650261435185185,8758
share_a075_fixed_50_15_35,kpx_group_2,2023,0.03069249479218873,0.17519273612849573,0.1428071466902071,0.0910647634163976,0.029568208644415048,0.17195408876911025,0.12733965889909754,0.04455562661703254,0.658941151872032,0.12733965889909754,0.4452219626431615,0.1421757455076331,0.9557968262266715,8758
share_a075_pinn_raw,kpx_group_2,2024,0.028112375520601647,0.1676674551622993,0.11857296010220722,0.0773728237848144,0.029815568405027502,0.1726718518028561,0.12393127668310668,0.05148008378270327,0.6747771112680702,0.12393127668310668,0.473485499219247,0.029416759027777774,0.9665216249999999,8778
share_a075_pinn_floor20,kpx_group_2,2024,0.03801803004182529,0.19498212749333024,0.15799447563268437,0.12222480331405111,0.0295172369453754,0.17180581173340848,0.12448598768700876,0.06138587040144545,0.6737649622544005,0.12448598768700876,0.4720159121958099,0.2,0.9665216249999999,8778
