variant,pinn_weight,tree_weight,tcn_family_weight,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,n_folds
pinn0.00_tree0.75_tcn0.25,0.0,0.75,0.25,0.6287840248676192,0.12637408060378144,0.3839421303390198,0.6135578959734725,0.013515762435968704,3
pinn0.30_tree0.60_tcn0.10,0.30000000000000004,0.6000000000000001,0.09999999999999987,0.6287792439837828,0.12724894832620653,0.3848074362937723,0.6132387520706004,0.013664447022375814,3
pinn0.40_tree0.15_tcn0.45,0.4,0.15000000000000002,0.44999999999999996,0.6287606176748279,0.13094977227238197,0.38847100762203784,0.6180903970620636,0.00972790277958733,3
pinn0.25_tree0.15_tcn0.60,0.25,0.15000000000000002,0.6,0.6287584855830938,0.131052545913202,0.38856951707938947,0.6181542673873469,0.010019173008589526,3
pinn0.20_tree0.70_tcn0.10,0.2,0.7000000000000001,0.09999999999999998,0.6287221312159449,0.12673563344990293,0.38417989588179274,0.6120736247343433,0.014785489401050532,3
pinn0.15_tree0.75_tcn0.10,0.15000000000000002,0.75,0.09999999999999998,0.628620110013758,0.12665692184271854,0.38389714187023444,0.6122274093940098,0.01458073355976132,3
pinn0.30_tree0.65_tcn0.05,0.30000000000000004,0.65,0.04999999999999993,0.6286126716455721,0.12740859214516886,0.3846339354363131,0.6124127623455737,0.014302169912065748,3
pinn0.45_tree0.40_tcn0.15,0.45,0.4,0.15000000000000002,0.6285429737714422,0.1289771826121201,0.38606313015500454,0.616050472990244,0.01083026848276806,3
pinn0.10_tree0.25_tcn0.65,0.1,0.25,0.65,0.6285188179633328,0.1302579548167994,0.3872955907434649,0.6175427349180318,0.009742648409762421,3
pinn0.40_tree0.55_tcn0.05,0.4,0.55,0.04999999999999993,0.6284803570380185,0.12827358919995008,0.38523430327598734,0.6139822707081125,0.01277361849966575,3
pinn0.35_tree0.60_tcn0.05,0.35000000000000003,0.6000000000000001,0.04999999999999982,0.6284336286574598,0.12778487304416183,0.38465213035908147,0.6136399683040302,0.013093375192131185,3
pinn0.05_tree0.30_tcn0.65,0.05,0.30000000000000004,0.6499999999999999,0.6284260903916078,0.12986784753840291,0.3867200283216186,0.6175006890405831,0.009554204047424622,3
pinn0.00_tree0.35_tcn0.65,0.0,0.35000000000000003,0.6499999999999999,0.6284052158324049,0.12959436804290292,0.3864047997077127,0.6167854218118992,0.010092158332240333,3
pinn0.40_tree0.10_tcn0.50,0.4,0.1,0.5,0.6283475586179361,0.13178108301044464,0.3884762002463169,0.6188495756648557,0.009248663885348169,3
pinn0.45_tree0.15_tcn0.40,0.45,0.15000000000000002,0.4,0.6282480497560531,0.1311686942407829,0.3876647937528892,0.6181352169072173,0.009165590959513298,3
pinn0.45_tree0.50_tcn0.05,0.45,0.5,0.050000000000000044,0.6282382038844915,0.12888134460818987,0.3853577523771725,0.6149195284176469,0.011660897987399162,3
pinn0.25_tree0.70_tcn0.05,0.25,0.7000000000000001,0.04999999999999993,0.6282364935886506,0.1271405481523403,0.38361353532964154,0.6117783377974809,0.014718385585057971,3
pinn0.00_tree0.80_tcn0.20,0.0,0.8,0.19999999999999996,0.6282241458785793,0.12650521924668776,0.3829535110038466,0.612092723450703,0.01451251213233295,3
pinn0.45_tree0.45_tcn0.10,0.45,0.45,0.10000000000000003,0.6281945801264074,0.128869759615425,0.3852589198682399,0.6155652070268977,0.01104883568165606,3
pinn0.05_tree0.80_tcn0.15,0.05,0.8,0.1499999999999999,0.6281817577108022,0.1265352784210751,0.3828987938426795,0.6116890539687284,0.014908222373562964,3
pinn0.35_tree0.10_tcn0.55,0.35000000000000003,0.1,0.5499999999999999,0.628154539079794,0.13175112958419516,0.38806020774378314,0.6183605048468226,0.0092492511681835,3
pinn0.10_tree0.80_tcn0.10,0.1,0.8,0.09999999999999998,0.6281181648166928,0.12668941007530768,0.3829257397086933,0.6115581679617147,0.014921581415024377,3
pinn0.50_tree0.30_tcn0.20,0.5,0.30000000000000004,0.19999999999999996,0.6280295870136748,0.13005449930465507,0.3861136733320048,0.6173370466082524,0.009286166909811098,3
