variant,pred_year,group,score,nmae,ficr,n_rows,pinn_weight,tree_weight,tcn_family_weight
pinn0.65_tree0.35_tcn0.00,2023,kpx_group_3,0.5810888184107937,0.1529176759500601,0.3150953127716476,8759,0.65,0.35000000000000003,0.0
pinn0.65_tree0.35_tcn0.00,2023,fold_mean,0.6133785037070636,0.13938059419317048,0.3661376016072977,26274,0.65,0.35000000000000003,0.0
pinn0.65_tree0.35_tcn0.00,2024,kpx_group_1,0.6251678980367146,0.11621194646587374,0.36654774253930283,8778,0.65,0.35000000000000003,0.0
pinn0.65_tree0.35_tcn0.00,2024,kpx_group_2,0.6577387775234866,0.13060440275108015,0.4460819577980536,8778,0.65,0.35000000000000003,0.0
pinn0.65_tree0.35_tcn0.00,2024,kpx_group_3,0.6033754888386015,0.1316041702839706,0.33835514796117355,8778,0.65,0.35000000000000003,0.0
pinn0.65_tree0.35_tcn0.00,2024,fold_mean,0.6287607214662675,0.12614017316697482,0.38366161609950994,26334,0.65,0.35000000000000003,0.0
pinn0.70_tree0.00_tcn0.30,2022,kpx_group_1,0.6057476300434688,0.13288053956389492,0.34437579965083237,8664,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.00_tcn0.30,2022,kpx_group_2,0.6402418637647349,0.13993353579054124,0.4204172633200111,8664,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.00_tcn0.30,2022,fold_mean,0.6229947469041018,0.13640703767721807,0.38239653148542174,17328,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.00_tcn0.30,2023,kpx_group_1,0.6142781743806964,0.13197480811183407,0.360531156873227,8757,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.00_tcn0.30,2023,kpx_group_2,0.6516101043117071,0.14130035127060944,0.44452055989402356,8758,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.00_tcn0.30,2023,kpx_group_3,0.5802659972955752,0.15553899691203718,0.3160709915031875,8759,0.7000000000000001,0.0,0.29999999999999993
pinn0.70_tree0.00_tcn0.30,2023,fold_mean,0.6153847586626595,0.14293805209816024,0.3737075694234793,26274,0.7000000000000001,0.0,0.29999999999999993
