pinn_recipe,tree_proxy,pinn_weight,score,nmae,ficr
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,1.0,0.5953101088054403,0.14134687688723985,0.3319670944981206
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.4,0.5953021877828393,0.13835379948763993,0.3289581750533186
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.4,0.5952824558853897,0.13871821140529023,0.3292831231760698
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.45,0.5952524930130629,0.13872579395424778,0.3292307799803737
unison__vestas_g1_teacher,tree_group2_proxy_same_time,0.8500000000000001,0.5952299882835561,0.13898569847772932,0.3294456750448417
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.45,0.5951594874820803,0.13736414070830139,0.3276831156724619
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.4,0.595155326478453,0.13811374556839792,0.3284243985253041
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.4,0.5951056917764103,0.13894410926700135,0.329155492819822
vestas__vestas_g2_teacher,tree_group2_transfer_group3_features,0.4,0.5949942582880919,0.13840461605059995,0.3283931326267838
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.45,0.5949937692571109,0.13754912498899993,0.32753666350322175
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.9,0.594914876688803,0.14216036294654177,0.3319901163241479
unison__vestas_g1_teacher,tree_group2_transfer_group3_features,0.6000000000000001,0.5948995332836106,0.1369888475092341,0.3267879140764552
unison__vestas_g1_teacher,tree_group2_proxy_same_time,0.9,0.5948889929289263,0.13962942348901491,0.32940740934686763
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,1.0,0.5948619716929113,0.14225030659107496,0.3319742499768975
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,1.0,0.5948619716929113,0.14225030659107496,0.3319742499768975
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.9500000000000001,0.5948195391258253,0.1429726234926621,0.33261170174431265
unison__vestas_g1_teacher,tree_group2_transfer_group3_features,0.9,0.5947531163043158,0.1395762286961477,0.3290824613047793
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.9500000000000001,0.5947349779361247,0.1429935048586721,0.33246346073092153
unison__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.45,0.594666429372629,0.13808402979752094,0.3274168885427791
unison__vestas_g1_teacher,tree_group2_transfer_group3_features,0.55,0.5945067555565698,0.13696467723675557,0.3259781883498953
unison__mix_50_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.35000000000000003,0.5944393718664533,0.1386978188858606,0.32757656261876744
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.9,0.5942012769031776,0.1429951427126884,0.33139769651904355
unison__vestas_g1_teacher,tree_group2_proxy_same_time,0.65,0.594164260377373,0.1374250505962566,0.3257535713510027
vestas__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.4,0.5941032823491386,0.13769198108909475,0.32589854578737193
unison__vestas_g1_teacher,tree_group2_proxy_same_time,0.6000000000000001,0.5940961489738323,0.13732071227668627,0.3255130102243509
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.9,0.5940807397054086,0.14303998829573328,0.33120146770655046
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.4,0.5940620823153993,0.1390684957188363,0.3271926603496349
unison__vestas_g1_teacher,tree_group2_proxy_same_time,0.9500000000000001,0.5940517478585583,0.14039105698753615,0.32849455270465266
unison__mix_30_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.35000000000000003,0.594007897260548,0.138500992576276,0.3265167870973721
vestas__vestas_g12_avg_teacher,tree_group2_proxy_same_time,0.45,0.5940026992020737,0.13790084727178725,0.32590624567593485
unison__vestas_g1_teacher,tree_group2_transfer_group3_features,0.9500000000000001,0.593981275119121,0.14036781735752543,0.32833036759576745
unison__unison_g3_teacher,tree_group2_transfer_group3_features,0.35000000000000003,0.5938923535885879,0.13820786980323146,0.3259925769804073
unison__vestas_g1_teacher,tree_group2_proxy_same_time,0.55,0.5938915180992059,0.13736683802874264,0.3251498742271546
vestas__vestas_g2_teacher,tree_group2_proxy_same_time,0.4,0.5938781040586967,0.13902439512899104,0.32678060324638425
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.9500000000000001,0.5938352976746923,0.14420347901089658,0.33187407436028116
unison__mix_70_unison_g3_vestas_g2,tree_group2_transfer_group3_features,0.35000000000000003,0.5937784588302624,0.1387655850456553,0.32632250270618
unison__mix_50_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.35000000000000003,0.5937036314699197,0.13934246327292574,0.3267497262127651
unison__vestas_g2_teacher,tree_group2_proxy_same_time,0.35000000000000003,0.5936885340248497,0.139084109269577,0.3264611773192765
unison__mix_70_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.9500000000000001,0.5936181022633942,0.14422293498585625,0.33145913951264455
unison__unison_g3_teacher,tree_group2_proxy_same_time,0.4,0.5935957978552111,0.1384576002582954,0.3256491959687176
unison__vestas_g12_avg_teacher,tree_group2_transfer_group3_features,0.4,0.5935916763037745,0.13787715698284203,0.325060509590391
unison__mix_30_unison_g3_vestas_g2,tree_group2_proxy_same_time,0.35000000000000003,0.5935885752073281,0.1391704739976966,0.32634762441235293
