group,trial,mean_score,mean_nmae,mean_ficr,worst_fold,std_score,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain
kpx_group_3,8,0.5591997509596125,0.1530060660113326,0.2714055679305577,0.5570216181482937,0.0021781328113189002,0.0,none,20260708008,-1,-1,regression,1115,0.015279209173983309,128,7,40,0.6216373537780641,0.9551071553494538,0.005309780428918838,0.02032878325501274,2.983183475235702e-05
kpx_group_3,12,0.5572114314663437,0.15283696484123518,0.26725982777392254,0.5567431619894985,0.0004682694768451956,0.0,none,20260708012,-1,-1,regression,1717,0.014264675546996335,96,8,60,0.6231808011112562,0.739193378804474,0.005231728119712796,0.0032810479179683077,0.1561571762675444
kpx_group_3,9,0.4643400535099695,0.23683718692696565,0.16551729394690468,0.46180246378288314,0.0025375897270863423,0.15,metric_x2,20260708009,-1,-1,huber,1504,0.019612483348188506,64,6,160,0.6791675410997069,0.7966487015648692,0.015160175201009131,0.013637385806837378,0.13304580596135032
kpx_group_3,13,0.46428716065959696,0.23688148588094726,0.16545580720014125,0.4617848275595343,0.002502333100062648,0.15,metric_x2,20260708013,-1,-1,huber,1100,0.024876362845415598,48,8,40,0.8312906315916534,0.7656795036903656,0.02817397150044777,49.98012354340703,0.06626613069677054
kpx_group_3,16,0.4640341468182321,0.23714203149055257,0.16521032512701667,0.4616308332697334,0.0024033135484986257,0.15,none,20260708016,-1,-1,huber,541,0.02019728022780954,16,-1,220,0.6625680976976466,0.9241333468415502,0.02946115514156085,0.05564697188051541,0.048209233031028885
kpx_group_3,5,0.46052061986216664,0.23112417745610112,0.1521654171804345,0.45719143354519404,0.0033291863169726266,0.05,actual_sqrt,20260708005,-1,-1,huber,1631,0.04757650607461323,48,8,60,0.8044085228696078,0.8208384072569352,0.002163590081221272,0.3445115568657912,0.00808136195428717
kpx_group_3,2,0.4590223316567179,0.23168973278370625,0.149734396097142,0.45650049824253003,0.0025218334141878795,0.1,none,20260708002,-1,-1,huber,1705,0.017248338684636808,64,7,120,0.6850940911686216,0.7856785153529453,0.002409681463993541,2.056009053161447,0.0005346978595161578
kpx_group_3,10,0.45720825606335647,0.23066912348665677,0.1450856356133698,0.45417149031954807,0.0030367657438084283,0.03,actual_sqrt,20260708010,-1,-1,huber,922,0.04789351282482029,64,8,40,0.6374173199057963,0.554088053563279,0.14957988197600078,12.125001112495049,1.6875251168255648e-05
kpx_group_3,18,0.4502319036794754,0.2332145730322579,0.1336783803912087,0.44581233567168893,0.0044195680077864785,0.03,none,20260708018,-1,-1,huber,858,0.022223203443757868,96,5,220,0.9508022174250851,0.6406955669057922,0.00016818665769064282,1.7031172407458635,0.0002823978012070046
kpx_group_3,19,0.44780342378248217,0.23547766108533236,0.1310845086502967,0.4439006477295886,0.003902776052893575,0.0,actual_sqrt,20260708019,-1,-1,huber,1484,0.03694985025237562,96,6,300,0.7442270349601092,0.8824356215702949,0.016444571706790773,0.08914735663421296,0.5156703418620042
kpx_group_3,0,0.4471534609179808,0.236197719604874,0.13050464144083568,0.44305127081406614,0.004102190103914688,0.0,actual_sqrt,20260708000,-1,-1,huber,971,0.014910788089083736,96,10,300,0.867794454045248,0.8161865115903417,0.0002124038226051766,0.028609039631181343,0.0006834635171232293
