fold,fold_type,val_start,val_end,feature_block,group,score,nmae,ficr,n
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,kpx_group_1,0.5863697993489805,0.12826346310891257,0.30100306180687364,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,kpx_group_2,0.6286749149192223,0.11873620690172221,0.3760860367401668,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,kpx_group_3,0.5531266930964379,0.13946761233604799,0.2457209985289239,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,baseline,mean,0.5893904691215469,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,thermo,kpx_group_1,0.5949249674520048,0.12528196811518716,0.3151319030191968,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,thermo,kpx_group_2,0.6390322998710323,0.11532720763260267,0.3933918073746671,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,thermo,kpx_group_3,0.5694163322279056,0.135284527191049,0.27411719164686005,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,thermo,mean,0.6011245331836476,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,radiation_cloud,kpx_group_1,0.5818292722940128,0.12809168959739187,0.29175023418541735,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,radiation_cloud,kpx_group_2,0.6300056351241454,0.11905466131739204,0.3790659315656829,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,radiation_cloud,kpx_group_3,0.5578416231968804,0.13998625313419572,0.2556694995279565,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,radiation_cloud,mean,0.5898921768716795,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,kpx_group_1,0.5977052817278027,0.12437170456369982,0.31978226801930515,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,kpx_group_2,0.6377833423791766,0.11741737928626396,0.39298406404461694,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,kpx_group_3,0.5666106892848747,0.13546568064174466,0.26868705921149405,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all_meteo,mean,0.600699771130618,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead_all_meteo,kpx_group_1,0.5977052817278027,0.12437170456369982,0.31978226801930515,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead_all_meteo,kpx_group_2,0.6377833423791766,0.11741737928626396,0.39298406404461694,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead_all_meteo,kpx_group_3,0.5666106892848747,0.13546568064174466,0.26868705921149405,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead_all_meteo,mean,0.600699771130618,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,kpx_group_1,0.6062929878935016,0.12591396614173667,0.33849994192873994,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,kpx_group_2,0.6668403526209734,0.11221908960069327,0.44589979484264,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,kpx_group_3,0.5491118790006385,0.14457019655593303,0.24279395455721,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,mean,0.6074150731717044,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,thermo,kpx_group_1,0.5942640967017717,0.12883838838354636,0.3173665817870897,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,thermo,kpx_group_2,0.6539408139880039,0.11476154576304685,0.4226431737390547,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,thermo,kpx_group_3,0.568808144050787,0.13831080289474332,0.2759270909963172,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,thermo,mean,0.6056710182468542,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,radiation_cloud,kpx_group_1,0.6097082815730559,0.12443060207292071,0.3438471652190325,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,radiation_cloud,kpx_group_2,0.6713036331968135,0.11030890357520311,0.45291616996883005,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,radiation_cloud,kpx_group_3,0.5567387052513255,0.14187328488490547,0.2553506953875564,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,radiation_cloud,mean,0.612583540007065,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,kpx_group_1,0.6088097379335033,0.12852681612325698,0.3461462919902637,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,kpx_group_2,0.6589015285370048,0.11335428678679824,0.43115734386080773,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,kpx_group_3,0.5598188119758867,0.14192482731400774,0.2615624512657811,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,all_meteo,mean,0.6091766928154649,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead_all_meteo,kpx_group_1,0.6088097379335033,0.12852681612325698,0.3461462919902637,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead_all_meteo,kpx_group_2,0.6589015285370048,0.11335428678679824,0.43115734386080773,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead_all_meteo,kpx_group_3,0.5598188119758867,0.14192482731400774,0.2615624512657811,2202.0
