experiment,group,tree_candidate,base_weight,score,nmae,ficr
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_raw,0.7000000000000001,0.6291013049399407,0.11796661145142297,0.3761692213313042
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.5,0.6290983497696486,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.9,0.6290493043551826,,
global_blend_own_tree_raw,mean,own_tree_raw,0.9500000000000001,0.6290203227216282,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.8,0.6288664229429773,,
global_blend_own_tree_calibrated,mean,own_tree_calibrated,0.8500000000000001,0.628858860782518,,
global_blend_own_tree_calibrated,mean,own_tree_calibrated,0.9500000000000001,0.6288389224579273,,
global_blend_own_tree_raw,mean,own_tree_raw,0.8500000000000001,0.6288370442349757,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.45,0.6288249676929837,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,0.75,0.6287873606825796,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.8,0.6287776749833273,,
global_blend_own_tree_calibrated,kpx_group_1,own_tree_calibrated,0.55,0.6287548321788072,0.11885824910850813,0.37636791346612275
groupwise_extra_tree_kpx_group_1,kpx_group_1,own_tree_calibrated,0.55,0.6287548321788072,0.11885824910850813,0.37636791346612275
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.8500000000000001,0.6287336156752913,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.75,0.628728600372705,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_raw,0.8500000000000001,0.6287279298457039,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_calibrated,0.25,0.6287159684261632,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.7000000000000001,0.6287044090812942,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.75,0.6287010814986357,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,0.75,0.6285358244586223,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_calibrated,0.7000000000000001,0.6284558204989509,,
global_blend_own_tree_calibrated,mean,own_tree_calibrated,0.8,0.6284356080762699,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.75,0.6284254571158979,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.65,0.6283965658944003,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_transfer_features,0.65,0.6283713540887255,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_raw,0.8,0.6283602290369739,,
groupwise_extra_tree_kpx_group_3,mean,group2_tree_same_time_proxy,0.7000000000000001,0.6283320453045995,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.4,0.6282672522745524,,
groupwise_extra_tree_kpx_group_2,mean,own_tree_raw,0.35000000000000003,0.6281913296736912,,
groupwise_extra_tree_kpx_group_3,mean,own_tree_raw,0.7000000000000001,0.628173928022695,,
groupwise_extra_tree_kpx_group_1,mean,own_tree_calibrated,0.7000000000000001,0.6281454485071448,,
