fold,fold_type,val_start,val_end,spatial_mode,group,score,nmae,ficr,n
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all,kpx_group_1,0.582344210579641,0.1311509978297227,0.2958394189890047,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all,kpx_group_2,0.6337838939322014,0.14743038061332928,0.41499816847773197,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all,kpx_group_3,0.5153256430859744,0.17065312073880137,0.2013044069107501,2184.0
q2024_1,quarter,2024-01-01 01:00:00,2024-04-01 01:00:00,all,mean,0.5771512491992722,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,none,kpx_group_1,0.5977052817278027,0.12437170456369982,0.31978226801930515,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,none,kpx_group_2,0.6377833423791766,0.11741737928626396,0.39298406404461694,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,none,kpx_group_3,0.5666106892848747,0.13546568064174466,0.26868705921149405,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,none,mean,0.600699771130618,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,nearest,kpx_group_1,0.607746214744614,0.12249011324574324,0.3379825427349712,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,nearest,kpx_group_2,0.6282788438068272,0.11905377376776825,0.3756114613814226,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,nearest,kpx_group_3,0.5583949800449975,0.141122990114059,0.2579129502040541,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,nearest,mean,0.5981400128654796,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,weighted,kpx_group_1,0.6058712755894168,0.12267343015681943,0.334415981335653,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,weighted,kpx_group_2,0.6387968612397149,0.11728557977816668,0.3948793022575965,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,weighted,kpx_group_3,0.5736633598661229,0.13387968758406216,0.28120640731630797,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,weighted,mean,0.6061104988984182,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,upwind,kpx_group_1,0.5993508803470351,0.123826417058021,0.3225281777520911,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,upwind,kpx_group_2,0.634617213526636,0.11424493786512882,0.3834793649184009,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,upwind,kpx_group_3,0.5659842558730553,0.13462568388616422,0.26659419563227493,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,upwind,mean,0.5999841165822422,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,ldaps,kpx_group_1,0.6084786245100309,0.1223936786393491,0.3393509276594109,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,ldaps,kpx_group_2,0.639689648320241,0.11776926284805024,0.39714855948853217,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,ldaps,kpx_group_3,0.5665001447697124,0.13473230082818657,0.2677325903676113,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,ldaps,mean,0.6048894725333281,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,gfs,kpx_group_1,0.6013465504372119,0.1238976856226858,0.32659078649710954,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,gfs,kpx_group_2,0.6367040740091909,0.11777540982891122,0.3911835578472932,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,gfs,kpx_group_3,0.567140781024762,0.1335469246393484,0.2678284866888722,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,gfs,mean,0.6017304684903882,,,
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all,kpx_group_1,0.6014183449853376,0.1249504088721185,0.32778709884279367,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all,kpx_group_2,0.6358718133550012,0.1167319666042587,0.3884755933142611,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all,kpx_group_3,0.5624544513997647,0.13645519370873058,0.26136409650825987,2184.0
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,all,mean,0.5999148699133678,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,none,kpx_group_1,0.6088097379335033,0.12852681612325698,0.3461462919902637,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,none,kpx_group_2,0.6589015285370048,0.11335428678679824,0.43115734386080773,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,none,kpx_group_3,0.5598188119758867,0.14192482731400774,0.2615624512657811,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,none,mean,0.6091766928154649,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,nearest,kpx_group_1,0.6003422591313281,0.12872956900971197,0.3294140872723682,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,nearest,kpx_group_2,0.6692348026185982,0.11209224430849929,0.4505618495456958,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,nearest,kpx_group_3,0.551791655737,0.14321079824268243,0.24679410971668242,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,nearest,mean,0.6071229058289754,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,weighted,kpx_group_1,0.598942002642253,0.12971955045381328,0.32760355573831934,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,weighted,kpx_group_2,0.6573792874032638,0.1142423557061455,0.42900093051267313,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,weighted,kpx_group_3,0.56559578986474,0.14042728754655698,0.27161886727603696,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,weighted,mean,0.6073056933034189,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,upwind,kpx_group_1,0.6085154404467061,0.12730902903664332,0.3443399099300557,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,upwind,kpx_group_2,0.6685520240218881,0.11073722531685908,0.4478412733606351,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,upwind,kpx_group_3,0.5588108587667813,0.14133893617420748,0.2589606537077701,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,upwind,mean,0.6119594410784585,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,ldaps,kpx_group_1,0.5991256843702534,0.12869035414455177,0.32694172288505846,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,ldaps,kpx_group_2,0.6612922471248744,0.11294350545598099,0.43552799970572986,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,ldaps,kpx_group_3,0.5679864756440169,0.1400899242345822,0.2760628755226162,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,ldaps,mean,0.6094681357130483,,,
