trial,min_output_ratio,weight_policy,random_state,n_jobs,verbose,objective,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,group,pred_year,train_years,score,nmae,ficr,n_train,n_val
15,0.05,metric_x2,20260708015,-1,-1,huber,1150,0.03561590512027744,16,5,80,0.7598632459762218,0.7090556444130056,0.0006250944692777601,0.030420525328881894,0.02074929982269464,kpx_group_1,2024,"2022,2023",0.45006996758966855,0.23323574275407885,0.133375677933416,12408,8778
16,0.15,none,20260708016,-1,-1,regression_l1,1456,0.02572036968314339,128,6,80,0.6660938353963323,0.7832770075905162,0.013883982274586933,1.274847501816731,0.0014868346960627097,kpx_group_1,2022,"2023,2024",0.631589269782344,0.12815716318961282,0.3913357027543008,9397,8664
16,0.15,none,20260708016,-1,-1,regression_l1,1456,0.02572036968314339,128,6,80,0.6660938353963323,0.7832770075905162,0.013883982274586933,1.274847501816731,0.0014868346960627097,kpx_group_1,2023,"2022,2024",0.5918124496405338,0.13373390614411526,0.31735880542518297,9313,8757
16,0.15,none,20260708016,-1,-1,regression_l1,1456,0.02572036968314339,128,6,80,0.6660938353963323,0.7832770075905162,0.013883982274586933,1.274847501816731,0.0014868346960627097,kpx_group_1,2024,"2022,2023",0.6204061653886991,0.1194597336786875,0.36027206445608556,9784,8778
17,0.03,metric_x2,20260708017,-1,-1,regression,1193,0.03992497206987333,24,8,220,0.984646177979004,0.6017580854686861,0.0023883303074618374,0.016354652433978947,0.0013496759466442572,kpx_group_1,2022,"2023,2024",0.6305025182709364,0.12434529949944903,0.3853503360413219,12760,8664
17,0.03,metric_x2,20260708017,-1,-1,regression,1193,0.03992497206987333,24,8,220,0.984646177979004,0.6017580854686861,0.0023883303074618374,0.016354652433978947,0.0013496759466442572,kpx_group_1,2023,"2022,2024",0.5923190203054609,0.1345845212174676,0.3192225618283894,12674,8757
17,0.03,metric_x2,20260708017,-1,-1,regression,1193,0.03992497206987333,24,8,220,0.984646177979004,0.6017580854686861,0.0023883303074618374,0.016354652433978947,0.0013496759466442572,kpx_group_1,2024,"2022,2023",0.6179065058005193,0.1208401123264829,0.3566531239275215,13270,8778
18,0.15,actual_sqrt,20260708018,-1,-1,regression_l1,1514,0.016952564442423722,64,10,40,0.8087417886920765,0.796823222564123,0.028802139016690435,0.10720217631870989,0.06698381665232427,kpx_group_1,2022,"2023,2024",0.6320236560995182,0.12980808817201175,0.39385540037104805,9397,8664
18,0.15,actual_sqrt,20260708018,-1,-1,regression_l1,1514,0.016952564442423722,64,10,40,0.8087417886920765,0.796823222564123,0.028802139016690435,0.10720217631870989,0.06698381665232427,kpx_group_1,2023,"2022,2024",0.5951515575083998,0.1343174878424513,0.3246206028592509,9313,8757
18,0.15,actual_sqrt,20260708018,-1,-1,regression_l1,1514,0.016952564442423722,64,10,40,0.8087417886920765,0.796823222564123,0.028802139016690435,0.10720217631870989,0.06698381665232427,kpx_group_1,2024,"2022,2023",0.6223938478884999,0.11941954582430542,0.36420724160130535,9784,8778
19,0.0,none,20260708019,-1,-1,regression_l1,562,0.030364352159781026,16,10,80,0.9295683231231087,0.8227817206017118,0.26445202395115064,0.012231352325403169,0.029584530300409126,kpx_group_1,2022,"2023,2024",0.6222494599656222,0.13159146762997945,0.37609038756122387,17535,8664
19,0.0,none,20260708019,-1,-1,regression_l1,562,0.030364352159781026,16,10,80,0.9295683231231087,0.8227817206017118,0.26445202395115064,0.012231352325403169,0.029584530300409126,kpx_group_1,2023,"2022,2024",0.5819733139583476,0.1433841429389459,0.30733077085564126,17442,8757
19,0.0,none,20260708019,-1,-1,regression_l1,562,0.030364352159781026,16,10,80,0.9295683231231087,0.8227817206017118,0.26445202395115064,0.012231352325403169,0.029584530300409126,kpx_group_1,2024,"2022,2023",0.605702868967545,0.12506519813696276,0.3364709360720529,17421,8778
0,0.15,metric_x2,20260708000,-1,-1,regression,623,0.03182172250715513,32,-1,220,0.8922889533636083,0.6749854973557431,0.0003807927768131218,1.1833355940144765,0.04188777196612534,kpx_group_2,2022,"2023,2024",0.6127795954633176,0.1304347286652706,0.35599391959190585,9415,8664
0,0.15,metric_x2,20260708000,-1,-1,regression,623,0.03182172250715513,32,-1,220,0.8922889533636083,0.6749854973557431,0.0003807927768131218,1.1833355940144765,0.04188777196612534,kpx_group_2,2023,"2022,2024",0.6165111221496029,0.13531290046611524,0.36833514476532103,9424,8758
0,0.15,metric_x2,20260708000,-1,-1,regression,623,0.03182172250715513,32,-1,220,0.8922889533636083,0.6749854973557431,0.0003807927768131218,1.1833355940144765,0.04188777196612534,kpx_group_2,2024,"2022,2023",0.650014068995174,0.1238533754919638,0.4238815134823118,9857,8778
1,0.03,actual_sqrt,20260708001,-1,-1,regression,507,0.03691267173266065,16,5,20,0.8045678646716257,0.786289302984471,0.005825706384061666,0.008798093515009278,0.012379833478499911,kpx_group_2,2022,"2023,2024",0.610281114124402,0.1296917757263637,0.35025400397516765,12747,8664
1,0.03,actual_sqrt,20260708001,-1,-1,regression,507,0.03691267173266065,16,5,20,0.8045678646716257,0.786289302984471,0.005825706384061666,0.008798093515009278,0.012379833478499911,kpx_group_2,2023,"2022,2024",0.6187724738522993,0.13335311874050218,0.3708980664451006,12674,8758
1,0.03,actual_sqrt,20260708001,-1,-1,regression,507,0.03691267173266065,16,5,20,0.8045678646716257,0.786289302984471,0.005825706384061666,0.008798093515009278,0.012379833478499911,kpx_group_2,2024,"2022,2023",0.6599651559262267,0.11859457481232868,0.4385248866647823,13207,8778
2,0.03,none,20260708002,-1,-1,regression_l1,1476,0.018816471884811573,64,8,80,0.7180973779692639,0.7655667627955323,0.00012270695461551152,0.08070530462101791,0.12825228475936412,kpx_group_2,2022,"2023,2024",0.613193051278705,0.1296104964993676,0.3559965990567777,12747,8664
2,0.03,none,20260708002,-1,-1,regression_l1,1476,0.018816471884811573,64,8,80,0.7180973779692639,0.7655667627955323,0.00012270695461551152,0.08070530462101791,0.12825228475936412,kpx_group_2,2023,"2022,2024",0.6175005974358208,0.13192749529702152,0.366928690168663,12674,8758
2,0.03,none,20260708002,-1,-1,regression_l1,1476,0.018816471884811573,64,8,80,0.7180973779692639,0.7655667627955323,0.00012270695461551152,0.08070530462101791,0.12825228475936412,kpx_group_2,2024,"2022,2023",0.6604145961617189,0.11853367940647845,0.43936287172991634,13207,8778
