fold,fold_type,candidate,group,score,nmae,ficr,n
year_2024,yearly,pinn_mixed_g3,kpx_group_3,0.5941787526520574,0.14344968178724632,0.33180718709136114,8778
year_2024,yearly,blend_tree_cal_pinn0.1,kpx_group_1,0.6157290464388471,0.1233727691847113,0.3548308620624054,8778
year_2024,yearly,blend_tree_cal_pinn0.1,kpx_group_2,0.6416624791785823,0.12637569509903354,0.4097006534561982,8778
year_2024,yearly,blend_tree_cal_pinn0.1,kpx_group_3,0.5615221419971879,0.14666593843155026,0.269710222425926,8778
year_2024,yearly,blend_tree_cal_pinn0.2,kpx_group_1,0.6202885596143948,0.12112217703784503,0.3616992962666345,8778
year_2024,yearly,blend_tree_cal_pinn0.2,kpx_group_2,0.6480431685059787,0.12513665152295345,0.4212229885349109,8778
year_2024,yearly,blend_tree_cal_pinn0.2,kpx_group_3,0.5679772717866862,0.1427905255962621,0.27874506916963454,8778
year_2024,yearly,blend_tree_cal_pinn0.3,kpx_group_1,0.6254164412962298,0.11941374900399024,0.3702466315964498,8778
year_2024,yearly,blend_tree_cal_pinn0.3,kpx_group_2,0.650706628059839,0.12445290400622867,0.4258661601259066,8778
year_2024,yearly,blend_tree_cal_pinn0.3,kpx_group_3,0.5742427870961406,0.13958312391305658,0.2880686981053378,8778
year_2024,yearly,blend_tree_cal_pinn0.5,kpx_group_1,0.6309521103077107,0.11747536890888158,0.37937958952430306,8778
year_2024,yearly,blend_tree_cal_pinn0.5,kpx_group_2,0.6539132076694039,0.12467395153754875,0.4325003668763565,8778
year_2024,yearly,blend_tree_cal_pinn0.5,kpx_group_3,0.590346372388471,0.13584219532924294,0.3165349401061849,8778
q2024_1,quarter_tree,tree_raw,kpx_group_1,0.5915055855365019,0.13243324656561611,0.31544441763861986,2184
q2024_1,quarter_tree,tree_raw,kpx_group_2,0.6042907933008741,0.15027645530095407,0.35885804190270243,2184
q2024_1,quarter_tree,tree_raw,kpx_group_3,0.5225381416803955,0.1716068619685821,0.21668314532937302,2184
q2024_1,quarter_tree,tree_calibrated,kpx_group_1,0.6084870616170833,0.12982054406338495,0.3467946672975516,2184
q2024_1,quarter_tree,tree_calibrated,kpx_group_2,0.6298358463758541,0.15061614618778632,0.4102878389394945,2184
q2024_1,quarter_tree,tree_calibrated,kpx_group_3,0.5239545711063294,0.17125847765097776,0.21916761986363664,2184
q2024_2,quarter_tree,tree_raw,kpx_group_1,0.5847255070175362,0.12543906751919817,0.2948900815542706,2184
