fold,fold_type,val_start,val_end,feature_block,group,score,nmae,ficr,n
q2024_2,quarter,2024-04-01 01:00:00,2024-07-01 01:00:00,lead_ldaps_gfs,mean,0.5936631045409352,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,kpx_group_1,0.6062929878935016,0.12591396614173667,0.33849994192873994,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,kpx_group_2,0.6668403526209734,0.11221908960069327,0.44589979484264,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,kpx_group_3,0.5491118790006385,0.14457019655593303,0.24279395455721,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,baseline,mean,0.6074150731717044,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead,kpx_group_1,0.6150951232894417,0.12395163865466913,0.35414188523355244,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead,kpx_group_2,0.6659342559018722,0.11349732049342799,0.44536583229717225,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead,kpx_group_3,0.5518977794214364,0.1467596229015139,0.25055518174438657,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead,mean,0.6109757195375835,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,ldaps,kpx_group_1,0.6027365474113137,0.1255482029692612,0.33102129779188855,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,ldaps,kpx_group_2,0.670019867967042,0.11150586519208969,0.45154560112617387,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,ldaps,kpx_group_3,0.5272545163014706,0.1530865532874465,0.2075955858903875,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,ldaps,mean,0.6000036438932754,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,gfs,kpx_group_1,0.6113787870035696,0.12396756286577287,0.3467251368729121,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,gfs,kpx_group_2,0.6527624422884796,0.11446229020805618,0.41998717478501535,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,gfs,kpx_group_3,0.5388250315551818,0.1485344341038238,0.22618449721418743,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,gfs,mean,0.6009887536157437,,,
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead_ldaps_gfs,kpx_group_1,0.6043632073214292,0.12746195288209197,0.3361883675249504,2202.0
q2024_3,quarter,2024-07-01 01:00:00,2024-10-01 01:00:00,lead_ldaps_gfs,kpx_group_2,0.6661597667920468,0.11236422686303453,0.4446837604471281,2202.0
