candidate,pinn_weight,score,nmae,ficr
blend:pinn_unison+tree_own_calibrated,0.30000000000000004,0.5728423855376856,0.14052228110253093,0.2862070521779023
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.5,0.5728182963666272,0.14178679791847673,0.28742339065173106
blend:pinn_unison+tree_own_raw,0.30000000000000004,0.5720294362999991,0.13974435740828084,0.2838032300082792
blend:pinn_unison+tree_own_raw,0.25,0.5718973805996628,0.14094006951591725,0.2847348307152429
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.45,0.5702694878079666,0.1419568400729184,0.2824958156888515
blend:pinn_unison+tree_own_calibrated,0.25,0.5690780365827353,0.1417551689698386,0.2799112421353092
blend:pinn_unison+tree_own_raw,0.2,0.5684444464817443,0.14230214374521483,0.2791910367087033
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.4,0.5682352729663547,0.14224139051477688,0.27871193644748615
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.35000000000000003,0.5666716162707578,0.1426477889717587,0.27599102151327426
blend:pinn_unison+tree_own_raw,0.15000000000000002,0.5666710710849748,0.14386055155664526,0.27720269372659495
blend:pinn_unison+tree_own_calibrated,0.2,0.5653803440453458,0.14316802569914205,0.27392871378983374
blend:pinn_unison+tree_own_raw,0.1,0.5653401332297409,0.14558024899710845,0.2762605154565901
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.30000000000000004,0.565043585730855,0.1431725132228793,0.27325968468458933
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.25,0.5647863060133731,0.1438226362172924,0.27339524824403866
blend:pinn_unison+tree_own_calibrated,0.15000000000000002,0.5642838601143758,0.14477277379590037,0.2733404940246519
blend:pinn_unison+tree_own_calibrated,0.1,0.5624396309319223,0.14653106563292057,0.2714103274967652
blend:pinn_unison+tree_own_raw,0.05,0.5611341496607672,0.1474829109480915,0.26975121026962595
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.2,0.5611063711905624,0.14458181393417185,0.2667945563152966
blend:pinn_unison+tree_own_calibrated,0.05,0.5590867132393958,0.148468844500157,0.2666422709789486
blend:pinn_unison+pinn_vestas_backbone_on_group3_weather,0.15000000000000002,0.5586844463607257,0.14544718891453798,0.2628160816359894
blend:pinn_unison+tree_own_raw,0.0,0.5586715031707217,0.14957498053754453,0.26691798687898793
tree_own_raw,,0.5586715031707217,0.14957498053754453,0.26691798687898793
tree_own_calibrated,,0.5574530946985815,0.15063057377773664,0.26553676317489977
blend:pinn_unison+tree_own_calibrated,0.0,0.5574530946985815,0.15063057377773664,0.26553676317489977
